Πάροχος,Έτος,Μήνας,Ονομασία Τιμολογίου,Πάγιο (€/μήνα),Τελική Τιμή Προμήθειας (€/ΚWh),Πάγιο με Έκπτωση με προϋπόθεση (€/μήνα),Προϋπόθεση Έκπτωσης Παγίου,Τελική Τιμή Προμήθειας με Έκπτωση με προϋπόθεση (€/ΚWh),Προϋπόθεση Έκπτωσης Βασικής Τιμής Προμήθειας,Διάρκεια Σύμβασης,Παρατηρήσεις
ELPEDISON,2024,8,ELPEDISON Win More,9.90,0.0895,9.90,,0.0895,,12,Έως 30/09/2024 Σταθερή Χρέωση Προμήθειας ημέρας και νύχτας και Πάγιο στα 9.90 €/μήνα. Από 01/10/2024 έως τη λήξη της σύμβασης η Χρέωση Προμήθειας καθίσταται κυμαινόμενη και το Πάγιο ανέρχεται στα 5 €/μήνα.
PROTERGIA,2024,5,Value Fair,5.00,0.09001,5.00,,0.09001,,Αορίστου Διάρκειας,
ΖΕΝΙΘ,2024,2,Power Home Special,5.00,0.10054,5.00,,0.09054,Παράλληλη ενεργή σύμβαση Φυσικού Αερίου,Αορίστου Διάρκειας,Χρέωση νυχτερινού 80.54 €/MWh
ΕΛΙΝΟΙΛ,2024,4,Ειδικό,5.00,0.0906,5.00,,0.0906,,Αορίστου Διάρκειας,
PROTERGIA,2024,7,Protergia Οικιακό / Οικιακό Ν - Value Easy,5.00,0.15169,5.00,,0.09063,,Αορίστου Διάρκειας,Οριζόντια έκπτωση 60.76€/MWh για καταναλώσεις Ιουλίου
PROTERGIA,2024,8,Protergia Οικιακό / Οικιακό Ν - Value Easy,5.00,0.19451,5.00,,0.09093,,Αορίστου Διάρκειας,"Οριζόντια έκπτωση 103,58 €/MWh για καταναλώσεις Αυγούστου"
PROTERGIA,2025,1,Value Swift OnTime,5.00,0.1509,5.00,,0.09093,Συνέπεια,12,
PROTERGIA,2024,5,Value Simple,5.00,0.09093,5.00,,0.09093,,Αορίστου Διάρκειας,
PROTERGIA,2024,10,Protergia Οικιακό / Οικιακό Ν - Value Easy,5.00,0.16757,5.00,,0.09093,Οριζόντια έκπτωση χωρίς προυπόθεση,Αορίστου Διάρκειας,
PROTERGIA,2024,12,Value Swift,5.00,0.19716,5.00,,0.09093,Οριζόντια έκπτωση χωρίς προυπόθεση,12,
PROTERGIA,2024,11,Value Easy,5.00,0.14126,5.00,,0.09093,Οριζόντια έκπτωση χωρίς προυπόθεση,Αορίστου Διάρκειας,
PROTERGIA,2024,6,Value Simple,5.00,0.11567,5.00,,0.09093,,Αορίστου Διάρκειας,Έκπτωση 24.74€/MWh μόνο για καταναλώσεις Ιουνίου
PROTERGIA,2024,9,Protergia Οικιακό / Οικιακό Ν - Value Easy,5.00,0.1882,5.00,,0.09093,Οριζόντια έκπτωση χωρίς προυπόθεση,Αορίστου Διάρκειας,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,3,Ρεύµα MAXI Home 10,5.00,0.10134,5.00,,0.0913,Συνέπεια,Αορίστου Διάρκειας,
PROTERGIA,2024,3,Value Fair,5.00,0.09176,5.00,,0.09176,,Αορίστου Διάρκειας,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2024,4,MAXI Home,5.00,0.0958,5.00,,0.0918,Συνέπεια και Συνδυασμός με πρόγραμμα Φυσικού Αερίου,Αορίστου Διάρκειας,
